DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,Flow_m3,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,499862,2127969,1,1984,1985,505,-1,0,0,31,-4200,9,11,Tl?íhuac,9011
SACM,499774,2128224,1,1984,1985,506,-1,0,0,31,-3952,9,11,Tl?íhuac,9011
SACM,499404,2128348,1,1984,1985,507,-1,0,0,31,-9599,9,11,Tl?íhuac,9011
SACM,499184,2128488,1,1984,1985,508,-1,0,0,31,-5436,9,11,Tl?íhuac,9011
SACM,498855,2128500,1,1984,1985,509,-1,0,0,31,-5300,9,13,Xochimilco,9013
SACM,498541,2128735,1,1984,1985,510,-1,0,0,31,-6127,9,13,Xochimilco,9013
SACM,498153,2128420,1,1984,1985,511,-1,0,0,31,-11951,9,13,Xochimilco,9013
SACM,498224,2129148,1,1984,1985,504,-1,0,0,31,-6355,9,13,Xochimilco,9013
SACM,490524,2145198,1,1984,1985,102,-1,0,0,31,-2908,9,6,Iztacalco,9006
SACM,490215,2136947,1,1984,1985,168,-1,0,0,31,-433,9,7,Iztapalapa,9007
SACM,490395,2136697,1,1984,1985,169,-1,0,0,31,-2337,9,7,Iztapalapa,9007
SACM,488920,2141217,1,1984,1985,171,-1,0,0,31,-1271,9,7,Iztapalapa,9007
SACM,490429,2140629,1,1984,1985,184,-1,0,0,31,-3678,9,7,Iztapalapa,9007
SACM,489524,2140324,1,1984,1985,186,-1,0,0,31,-5391,9,7,Iztapalapa,9007
SACM,494401,2141125,1,1984,1985,188,-1,0,0,31,-3110,9,7,Iztapalapa,9007
SACM,489024,2138895,1,1984,1985,361,-1,0,0,31,-4666,9,7,Iztapalapa,9007
SACM,492110,2138566,1,1984,1985,266,-1,0,0,31,-1468,9,7,Iztapalapa,9007
SACM,492185,2138296,1,1984,1985,267,-1,0,0,31,-5605,9,7,Iztapalapa,9007
SACM,491725,2138701,1,1984,1985,268,-1,0,0,31,-5093,9,7,Iztapalapa,9007
SACM,496929,2143163,1,1984,1985,282,-1,0,0,31,-3988,9,7,Iztapalapa,9007
SACM,496431,2141160,1,1984,1985,283,-1,0,0,31,-7427,9,7,Iztapalapa,9007
